G,simulation,correlation,distance
3.0000,9,0.190931,0.359834
4.0000,9,0.213649,0.389908
5.0000,9,0.209218,0.452232
10.0000,9,0.126643,0.522074
15.0000,9,0.006560,0.794036
20.0000,9,0.027393,0.767213
25.0000,9,0.017052,0.797630
30.0000,9,-0.008857,0.772150
0.1000,10,0.007810,0.240792
0.2000,10,0.038793,0.239615
0.3000,10,0.127758,0.233414
0.4000,10,0.238005,0.222500
0.5000,10,0.249035,0.208305
0.6000,10,0.307270,0.213947
0.7000,10,0.247426,0.201249
0.8000,10,0.270887,0.208566
0.9000,10,0.359863,0.204575
1.0000,10,0.338181,0.211024
2.0000,10,0.263702,0.254165
3.0000,10,0.203867,0.302969
4.0000,10,0.203615,0.381365
5.0000,10,0.215158,0.532091
10.0000,10,0.069762,0.586409
15.0000,10,0.037595,0.806374
20.0000,10,-0.004286,0.764513
25.0000,10,-0.012877,0.766796
30.0000,10,0.022468,0.807677
